;Time Interval;Average Packet Size;Average Packet Intervals;Inbound Packets;Outbound Packets;Total Packets;Persona
371;(185.5, 186.0);1012.9837398373984;0.0038814878048780486;70;53;123;0
372;(186.0, 186.5);918.0185185185185;0.004667324074074073;69;39;108;0
373;(186.5, 187.0);851.672131147541;0.003954622950819672;72;50;122;0
374;(187.0, 187.5);958.6315789473684;0.005036210526315787;68;27;95;0
375;(187.5, 188.0);905.6;0.004341878260869564;73;42;115;0
376;(188.0, 188.5);969.4725274725274;0.005366087912087912;69;22;91;0
377;(188.5, 189.0);926.6;0.004613979999999998;76;24;100;0
378;(189.0, 189.5);984.735632183908;0.005309885057471266;67;20;87;0
379;(189.5, 190.0);989.2631578947369;0.004994810526315786;68;27;95;0
380;(190.0, 190.5);964.3548387096774;0.005115795698924728;71;22;93;0
381;(190.5, 191.0);944.9247311827957;0.005306774193548388;73;20;93;0
382;(191.0, 191.5);1000.7849462365591;0.005265784946236556;73;20;93;0
383;(191.5, 192.0);1002.7682926829268;0.005863170731707318;65;17;82;0
384;(192.0, 192.5);1010.6666666666666;0.005544799999999996;71;19;90;0
385;(192.5, 193.0);961.1157894736842;0.005282136842105263;73;22;95;0
386;(193.0, 193.5);1002.9047619047619;0.005764047619047618;67;17;84;0
387;(193.5, 194.0);997.4333333333333;0.005314733333333332;69;21;90;0
388;(194.0, 194.5);888.6666666666666;0.004782098039215686;74;28;102;0
389;(194.5, 195.0);1014.7741935483871;0.005494526881720431;75;18;93;0
390;(195.0, 195.5);969.0224719101124;0.005386460674157304;67;22;89;0
391;(195.5, 196.0);1004.3;0.005265155555555556;73;17;90;0
392;(196.0, 196.5);985.1538461538462;0.005392197802197801;68;23;91;0
393;(196.5, 197.0);994.6551724137931;0.005733494252873562;68;19;87;0
394;(197.0, 197.5);961.2967032967033;0.005009725274725274;70;21;91;0
395;(197.5, 198.0);968.1170212765958;0.00519505319148936;75;19;94;0
396;(198.0, 198.5);926.0537634408602;0.005352344086021506;74;19;93;0
397;(198.5, 199.0);997.2613636363636;0.00537865909090909;71;17;88;0
398;(199.0, 199.5);990.0444444444445;0.005459344444444443;70;20;90;0
399;(199.5, 200.0);995.1011235955057;0.005208752808988765;70;19;89;0
400;(200.0, 200.5);1004.8023255813954;0.005922418604651161;71;15;86;0
401;(200.5, 201.0);1027.7261904761904;0.005699833333333334;69;15;84;0
402;(201.0, 201.5);977.2421052631579;0.005294736842105265;73;22;95;0
403;(201.5, 202.0);902.7204301075269;0.005113247311827956;69;24;93;0
404;(202.0, 202.5);998.5978260869565;0.00489033695652174;74;18;92;0
405;(202.5, 203.0);979.2826086956521;0.005518652173913044;74;18;92;0
406;(203.0, 203.5);994.2873563218391;0.005744471264367817;70;17;87;0
407;(203.5, 204.0);992.8571428571429;0.0051514404761904735;68;16;84;0
408;(204.0, 204.5);1003.6091954022988;0.005520862068965518;72;15;87;0
409;(204.5, 205.0);990.6818181818181;0.005904795454545455;71;17;88;0
410;(205.0, 205.5);954.468085106383;0.005144021276595744;72;22;94;0
411;(205.5, 206.0);936.554347826087;0.005281032608695652;72;20;92;0
412;(206.0, 206.5);989.4705882352941;0.005625847058823529;69;16;85;0
413;(206.5, 207.0);1011.6022727272727;0.005817534090909091;71;17;88;0
414;(207.0, 207.5);975.2359550561798;0.005615808988764045;71;18;89;0
415;(207.5, 208.0);972.0222222222222;0.005442155555555556;73;17;90;0
416;(208.0, 208.5);979.6543209876543;0.006140851851851853;66;15;81;0
417;(208.5, 209.0);1011.3103448275862;0.0052997471264367825;72;15;87;0
418;(209.0, 209.5);924.2604166666666;0.0046530416666666664;75;21;96;0
419;(209.5, 210.0);983.0975609756098;0.00592770731707317;65;17;82;0
420;(210.0, 210.5);986.1276595744681;0.005508468085106381;76;18;94;0
421;(210.5, 211.0);1000.964705882353;0.005768917647058826;70;15;85;0
422;(211.0, 211.5);983.5903614457832;0.005093614457831327;66;17;83;0
423;(211.5, 212.0);967.3444444444444;0.005853411111111113;69;21;90;0
424;(212.0, 212.5);995.5444444444445;0.0054643333333333315;73;17;90;0
425;(212.5, 213.0);953.7173913043479;0.00526866304347826;70;22;92;0
426;(213.0, 213.5);931.0860215053764;0.005211032258064517;73;20;93;0
427;(213.5, 214.0);1005.8235294117648;0.005256894117647058;69;16;85;0
428;(214.0, 214.5);952.2873563218391;0.005205321839080457;68;19;87;0
429;(214.5, 215.0);977.7111111111111;0.005675166666666666;69;21;90;0
430;(215.0, 215.5);1006.5568181818181;0.005346943181818182;72;16;88;0
431;(215.5, 216.0);994.8588235294118;0.0057956;68;17;85;0
432;(216.0, 216.5);963.1279069767442;0.0056350813953488345;67;19;86;0
433;(216.5, 217.0);892.1188118811881;0.0047569009900990085;75;26;101;0
434;(217.0, 217.5);1004.9642857142857;0.005687892857142857;69;15;84;0
435;(217.5, 218.0);993.551724137931;0.005774827586206895;71;16;87;0
436;(218.0, 218.5);979.1585365853658;0.0058803048780487815;64;18;82;0
437;(218.5, 219.0);1005.8636363636364;0.005278352272727273;71;17;88;0
438;(219.0, 219.5);967.5824175824176;0.005622483516483513;71;20;91;0
439;(219.5, 220.0);994.8409090909091;0.005569534090909091;71;17;88;0
440;(220.0, 220.5);964.6888888888889;0.005383888888888889;70;20;90;0
441;(220.5, 221.0);951.0340909090909;0.005124329545454545;70;18;88;0
442;(221.0, 221.5);1002.0674157303371;0.005758662921348316;72;17;89;0
443;(221.5, 222.0);972.7209302325581;0.005655627906976743;67;19;86;0
444;(222.0, 222.5);995.5294117647059;0.005894247058823529;67;18;85;0
445;(222.5, 223.0);974.2197802197802;0.005262681318681318;73;18;91;0
446;(223.0, 223.5);986.3678160919541;0.0058638620689655165;70;17;87;0
447;(223.5, 224.0);971.2150537634409;0.0052486881720430105;66;27;93;0
448;(224.0, 224.5);885.5982142857143;0.004382330357142856;81;31;112;0
449;(224.5, 225.0);972.6516853932584;0.005138595505617977;66;23;89;0
450;(225.0, 225.5);1007.1777777777778;0.0054209777777777775;70;20;90;0
451;(225.5, 226.0);961.2840909090909;0.004942329545454545;70;18;88;0
452;(226.0, 226.5);978.6144578313254;0.006061638554216869;64;19;83;0
453;(226.5, 227.0);991.8901098901099;0.005377659340659341;74;17;91;0
454;(227.0, 227.5);1002.9625;0.006223675000000003;65;15;80;0
455;(227.5, 228.0);967.4148936170212;0.005044425531914893;75;19;94;0
456;(228.0, 228.5);920.5894736842105;0.005095505263157897;74;21;95;0
457;(228.5, 229.0);994.3294117647059;0.005739329411764705;67;18;85;0
458;(229.0, 229.5);991.9058823529411;0.005577976470588236;68;17;85;0
459;(229.5, 230.0);998.9666666666667;0.005569733333333333;71;19;90;0
460;(230.0, 230.5);1010.735632183908;0.00570242528735632;70;17;87;0
461;(230.5, 231.0);1010.3333333333334;0.0057230919540229895;68;19;87;0
462;(231.0, 231.5);974.1494252873563;0.005563505747126436;69;18;87;0
463;(231.5, 232.0);891.7731958762887;0.004811958762886598;74;23;97;0
464;(232.0, 232.5);976.4827586206897;0.005648264367816092;70;17;87;0
465;(232.5, 233.0);923.6404494382023;0.00565461797752809;69;20;89;0
466;(233.0, 233.5);984.7865168539325;0.005459202247191011;69;20;89;0
467;(233.5, 234.0);990.8604651162791;0.005847523255813953;68;18;86;0
468;(234.0, 234.5);999.7341772151899;0.005710227848101268;63;16;79;0
469;(234.5, 235.0);976.3;0.005664211111111113;74;16;90;0
470;(235.0, 235.5);960.989010989011;0.005596626373626376;72;19;91;0
471;(235.5, 236.0);949.2808988764045;0.005507123595505619;72;17;89;0
472;(236.0, 236.5);1175.3909090909092;0.004541636363636362;69;41;110;0
473;(236.5, 237.0);1068.484126984127;0.003934984126984127;66;60;126;0
474;(237.0, 237.5);917.5813953488372;0.0039076744186046525;75;54;129;0
475;(237.5, 238.0);944.6940298507462;0.003420044776119402;71;63;134;0
476;(238.0, 238.5);995.5637583892617;0.0032908724832214765;65;84;149;0
477;(238.5, 239.0);1005.88125;0.0031333;76;84;160;0
478;(239.0, 239.5);952.5897435897435;0.0030268910256410248;69;87;156;0
479;(239.5, 240.0);1015.8169934640523;0.003283928104575163;73;80;153;0
480;(240.0, 240.5);1016.8421052631579;0.003289368421052629;70;82;152;0
481;(240.5, 241.0);1042.8333333333333;0.003339362318840581;65;73;138;0
482;(241.0, 241.5);1016.3243243243244;0.003320060810810809;68;80;148;1
483;(241.5, 242.0);977.3741935483871;0.003164425806451611;71;84;155;1
484;(242.0, 242.5);1048.2481751824816;0.0035989197080291955;65;72;137;1
485;(242.5, 243.0);996.8076923076923;0.003145339743589742;77;79;156;1
486;(243.0, 243.5);979.1532846715329;0.003555087591240876;64;73;137;1
487;(243.5, 244.0);1043.9366197183099;0.003372140845070421;70;72;142;1
488;(244.0, 244.5);1024.3591549295775;0.003524246478873237;69;73;142;1
489;(244.5, 245.0);1019.931506849315;0.003427335616438357;72;74;146;1
490;(245.0, 245.5);1011.7173913043479;0.0036456521739130416;62;76;138;1
491;(245.5, 246.0);1028.9935483870968;0.0031077161290322575;81;74;155;1
492;(246.0, 246.5);1002.2746478873239;0.0035018661971830977;66;76;142;1
493;(246.5, 247.0);984.1363636363636;0.0032415909090909075;74;80;154;1
494;(247.0, 247.5);995.6183206106871;0.0037890763358778613;57;74;131;1
495;(247.5, 248.0);998.6883116883117;0.003146902597402596;77;77;154;1
496;(248.0, 248.5);1043.23125;0.0030168437499999987;81;79;160;1
497;(248.5, 249.0);1037.9466666666667;0.003260166666666667;70;80;150;1
498;(249.0, 249.5);1042.476821192053;0.003249337748344369;71;80;151;1
499;(249.5, 250.0);1050.543624161074;0.0033535570469798662;70;79;149;1
500;(250.0, 250.5);1013.4113475177305;0.0035073758865248224;60;81;141;1
501;(250.5, 251.0);1008.7862068965517;0.0033582551724137912;65;80;145;1
502;(251.0, 251.5);1041.0472972972973;0.0034040878378378374;65;83;148;1
503;(251.5, 252.0);1047.7602739726028;0.003331602739726025;68;78;146;1
504;(252.0, 252.5);1032.7571428571428;0.0036018214285714265;54;86;140;1
505;(252.5, 253.0);1065.2676056338028;0.003468394366197181;67;75;142;1
506;(253.0, 253.5);1059.8931297709923;0.0038094809160305323;54;77;131;1
507;(253.5, 254.0);1062.8721804511279;0.0036814210526315773;57;76;133;1
508;(254.0, 254.5);984.6976744186046;0.003888263565891473;53;76;129;1
509;(254.5, 255.0);1028.186274509804;0.004884696078431371;50;52;102;1
510;(255.0, 255.5);1036.3490566037735;0.004431292452830188;55;51;106;1
511;(255.5, 256.0);961.1610169491526;0.0041407711864406786;71;47;118;1
512;(256.0, 256.5);1003.219512195122;0.0038650162601626004;74;49;123;1
513;(256.5, 257.0);1041.3307086614172;0.0037545039370078734;76;51;127;1
514;(257.0, 257.5);1034.9772727272727;0.003730742424242423;80;52;132;1
515;(257.5, 258.0);975.1370967741935;0.0039342258064516125;65;59;124;1
516;(258.0, 258.5);978.184;0.0038204399999999987;68;57;125;1
517;(258.5, 259.0);983.5151515151515;0.004924575757575758;53;46;99;1
518;(259.0, 259.5);997.9215686274509;0.0046543627450980375;58;44;102;1
519;(259.5, 260.0);969.3980582524272;0.004778310679611652;63;40;103;1
520;(260.0, 260.5);865.2786885245902;0.0040091885245901624;84;38;122;1
521;(260.5, 261.0);869.9814814814815;0.0046213888888888876;71;37;108;1
522;(261.0, 261.5);880.8703703703703;0.004479759259259257;74;34;108;1
523;(261.5, 262.0);818.203125;0.0037714687499999988;83;45;128;1
524;(262.0, 262.5);858.6465517241379;0.004191077586206897;81;35;116;1
525;(262.5, 263.0);839.0555555555555;0.004616037037037036;71;37;108;1
526;(263.0, 263.5);853.5206611570248;0.004038545454545454;84;37;121;1
527;(263.5, 264.0);894.9230769230769;0.005417098901098901;55;36;91;1
528;(264.0, 264.5);852.1909090909091;0.004426318181818182;64;46;110;1
529;(264.5, 265.0);830.8653846153846;0.004887125000000001;58;46;104;1
530;(265.0, 265.5);810.4594594594595;0.00438318018018018;67;44;111;1
531;(265.5, 266.0);810.433628318584;0.004416283185840707;64;49;113;1
532;(266.0, 266.5);858.4752475247525;0.004709336633663365;58;43;101;1
533;(266.5, 267.0);843.3333333333334;0.004248699999999999;69;51;120;1
534;(267.0, 267.5);828.7264150943396;0.004674056603773583;60;46;106;1
535;(267.5, 268.0);846.8317757009346;0.004688046728971961;61;46;107;1
536;(268.0, 268.5);829.3333333333334;0.004244333333333333;65;52;117;1
537;(268.5, 269.0);839.2095238095238;0.004748476190476191;59;46;105;1
538;(269.0, 269.5);793.8083333333333;0.003983958333333332;67;53;120;1
539;(269.5, 270.0);839.7232142857143;0.004258366071428573;61;51;112;1
540;(270.0, 270.5);842.3162393162393;0.003945965811965812;67;50;117;1
541;(270.5, 271.0);861.5;0.0047094230769230755;57;47;104;1
542;(271.0, 271.5);853.5818181818182;0.004394681818181818;64;46;110;1
543;(271.5, 272.0);877.3245614035088;0.004461307017543859;65;49;114;1
544;(272.0, 272.5);863.2897196261682;0.004569214953271026;60;47;107;1
545;(272.5, 273.0);824.5752212389381;0.004083176991150441;62;51;113;1
546;(273.0, 273.5);771.7168141592921;0.004458469026548673;64;49;113;1
547;(273.5, 274.0);851.0555555555555;0.00461775;64;44;108;1
548;(274.0, 274.5);793.8144329896908;0.004933144329896906;52;45;97;1
549;(274.5, 275.0);883.5982142857143;0.004277366071428571;72;40;112;1
550;(275.0, 275.5);787.2522522522522;0.004338414414414413;63;48;111;1
551;(275.5, 276.0);796.9411764705883;0.004686009803921569;59;43;102;1
552;(276.0, 276.5);857.7383177570093;0.004640850467289718;66;41;107;1
553;(276.5, 277.0);818.6890756302521;0.004000067226890755;68;51;119;1
554;(277.0, 277.5);852.8272727272728;0.004625281818181817;62;48;110;1
555;(277.5, 278.0);895.504761904762;0.0044758952380952385;62;43;105;1
556;(278.0, 278.5);867.4363636363636;0.004451563636363636;63;47;110;1
557;(278.5, 279.0);866.6168224299065;0.004560962616822429;61;46;107;1
558;(279.0, 279.5);835.9545454545455;0.004362327272727273;65;45;110;1
559;(279.5, 280.0);836.0754716981132;0.004679971698113206;63;43;106;1
560;(280.0, 280.5);772.0;0.0046811538461538444;62;42;104;1
561;(280.5, 281.0);820.6140350877193;0.00420742105263158;65;49;114;1
562;(281.0, 281.5);879.2056074766355;0.004756028037383175;60;47;107;1
563;(281.5, 282.0);885.362831858407;0.004285088495575223;66;47;113;1
564;(282.0, 282.5);835.6727272727272;0.004605981818181818;63;47;110;1
565;(282.5, 283.0);874.7068965517242;0.004145258620689655;68;48;116;1
566;(283.0, 283.5);850.1619047619048;0.004648028571428569;62;43;105;1
567;(283.5, 284.0);885.2051282051282;0.004224076923076925;69;48;117;1
568;(284.0, 284.5);852.9243697478992;0.0040366302521008405;68;51;119;1
569;(284.5, 285.0);898.3615384615384;0.003747215384615382;63;67;130;1
570;(285.0, 285.5);919.2777777777778;0.003937650793650792;61;65;126;1
571;(285.5, 286.0);959.4580152671756;0.003740824427480915;63;68;131;1
572;(286.0, 286.5);946.9850746268656;0.003688000000000001;67;67;134;1
573;(286.5, 287.0);960.0229007633587;0.0038263053435114492;64;67;131;1
574;(287.0, 287.5);948.7142857142857;0.0038831507936507924;59;67;126;1
575;(287.5, 288.0);961.3700787401575;0.00391799212598425;60;67;127;1
576;(288.0, 288.5);918.9230769230769;0.0033679440559440544;73;70;143;1
577;(288.5, 289.0);984.780303030303;0.0035907348484848483;67;65;132;1
578;(289.0, 289.5);948.4335664335664;0.003432062937062935;72;71;143;1
579;(289.5, 290.0);930.0909090909091;0.0034992027972027963;70;73;143;1
580;(290.0, 290.5);940.2291666666666;0.0034044236111111107;76;68;144;1
581;(290.5, 291.0);955.2907801418439;0.00355191489361702;72;69;141;1
582;(291.0, 291.5);961.2089552238806;0.003695231343283583;66;68;134;1
583;(291.5, 292.0);884.0942028985507;0.0034998043478260852;66;72;138;1
584;(292.0, 292.5);947.2720588235294;0.003442242647058822;68;68;136;1
585;(292.5, 293.0);925.4233576642335;0.003579627737226276;67;70;137;1
586;(293.0, 293.5);949.6838235294117;0.0034998749999999995;69;67;136;1
587;(293.5, 294.0);943.2330827067669;0.003787556390977441;64;69;133;1
588;(294.0, 294.5);931.2357142857143;0.003534064285714281;68;72;140;1
589;(294.5, 295.0);924.5483870967741;0.0032189354838709668;73;82;155;1
590;(295.0, 295.5);887.2176870748299;0.0032608095238095213;54;93;147;1
591;(295.5, 296.0);895.1760563380282;0.0035233450704225348;55;87;142;1
592;(296.0, 296.5);906.3701298701299;0.003185305194805194;66;88;154;1
593;(296.5, 297.0);912.6928571428572;0.0035684285714285696;53;87;140;1
594;(297.0, 297.5);887.25;0.0033767430555555534;55;89;144;1
595;(297.5, 298.0);844.7434210526316;0.003254144736842103;58;94;152;1
596;(298.0, 298.5);861.6712328767123;0.0031750410958904097;55;91;146;1
597;(298.5, 299.0);794.8595041322315;0.0041470330578512364;56;65;121;1
598;(299.0, 299.5);750.2962962962963;0.0035157629629629624;66;69;135;1
599;(299.5, 300.0);791.7333333333333;0.0032495933333333326;90;60;150;1
600;(300.0, 300.5);841.7793103448275;0.0034582896551724122;82;63;145;1
601;(300.5, 301.0);816.5579710144928;0.0035635652173913054;73;65;138;1
602;(301.0, 301.5);836.0656934306569;0.0036198686131386857;75;62;137;0
603;(301.5, 302.0);877.0;0.00406276984126984;58;68;126;0
604;(302.0, 302.5);908.3828125;0.003795624999999998;65;63;128;0
605;(302.5, 303.0);861.8840579710145;0.0034318115942028973;70;68;138;0
606;(303.0, 303.5);868.7016129032259;0.00395464516129032;60;64;124;0
607;(303.5, 304.0);892.7741935483871;0.003847096774193546;64;60;124;0
608;(304.0, 304.5);924.139344262295;0.004048352459016394;62;60;122;0
609;(304.5, 305.0);885.0;0.003609519083969464;65;66;131;0
610;(305.0, 305.5);882.4296875;0.003818390625000001;65;63;128;0
611;(305.5, 306.0);769.7706422018349;0.004627266055045868;56;53;109;0
612;(306.0, 306.5);776.7454545454545;0.004400309090909088;68;42;110;0
613;(306.5, 307.0);719.7777777777778;0.004499898148148144;73;35;108;0
614;(307.0, 307.5);762.8461538461538;0.005392560439560439;62;29;91;0
615;(307.5, 308.0);816.7916666666666;0.005189166666666669;68;28;96;0
616;(308.0, 308.5);777.2736842105263;0.005205357894736842;67;28;95;0
617;(308.5, 309.0);777.5208333333334;0.004991406250000001;64;32;96;0
618;(309.0, 309.5);807.2083333333334;0.0051339583333333315;63;33;96;0
619;(309.5, 310.0);798.2717391304348;0.005047010869565216;67;25;92;0
620;(310.0, 310.5);769.6458333333334;0.0051840312499999985;66;30;96;0
621;(310.5, 311.0);754.0392156862745;0.004610362745098042;76;26;102;0
622;(311.0, 311.5);810.3823529411765;0.004789823529411763;66;36;102;0
623;(311.5, 312.0);887.5079365079365;0.0038521349206349204;66;60;126;0
624;(312.0, 312.5);810.8495575221239;0.004348619469026548;64;49;113;0
625;(312.5, 313.0);948.0;0.004383954545454545;60;50;110;0
626;(313.0, 313.5);881.7753623188406;0.003402797101449275;79;59;138;0
627;(313.5, 314.0);950.9918032786885;0.004099901639344262;67;55;122;0
628;(314.0, 314.5);860.4609375;0.0036659843749999995;72;56;128;0
629;(314.5, 315.0);886.08;0.003875575999999999;69;56;125;0
630;(315.0, 315.5);816.8350515463917;0.004898381443298967;63;34;97;0
631;(315.5, 316.0);834.97;0.0046799499999999996;74;26;100;0
632;(316.0, 316.5);845.875;0.005463397727272725;64;24;88;0
633;(316.5, 317.0);834.7692307692307;0.005477747252747253;71;20;91;0
634;(317.0, 317.5);833.9042553191489;0.005279585106382979;68;26;94;0
635;(317.5, 318.0);818.2526315789473;0.0050271263157894725;71;24;95;0
636;(318.0, 318.5);769.5555555555555;0.004140170940170941;73;44;117;0
637;(318.5, 319.0);832.4273504273505;0.004150128205128204;68;49;117;0
638;(319.0, 319.5);832.3660714285714;0.0043914821428571406;72;40;112;0
639;(319.5, 320.0);833.3564356435644;0.004726851485148515;66;35;101;0
640;(320.0, 320.5);929.53;0.00484022;68;32;100;0
641;(320.5, 321.0);971.0526315789474;0.005323936842105263;71;24;95;0
642;(321.0, 321.5);966.1789473684211;0.005071368421052631;66;29;95;0
643;(321.5, 322.0);873.8448275862069;0.00425546551724138;78;38;116;0
644;(322.0, 322.5);930.5478260869565;0.004344965217391302;66;49;115;0
645;(322.5, 323.0);1045.1404958677685;0.004101355371900827;70;51;121;0
646;(323.0, 323.5);984.5271317829457;0.003515542635658914;72;57;129;0
647;(323.5, 324.0);995.2682926829268;0.00402213008130081;66;57;123;0
648;(324.0, 324.5);954.9166666666666;0.005071958333333333;68;28;96;0
649;(324.5, 325.0);923.2075471698113;0.004525849056603772;71;35;106;0
650;(325.0, 325.5);993.2436974789916;0.004076865546218486;71;48;119;0
651;(325.5, 326.0);1001.4202898550725;0.003537760869565216;75;63;138;0
652;(326.0, 326.5);978.2148760330579;0.004120049586776859;72;49;121;0
653;(326.5, 327.0);939.7777777777778;0.004184461538461536;69;48;117;0
654;(327.0, 327.5);904.78;0.004942239999999998;72;28;100;0
655;(327.5, 328.0);957.0842105263158;0.005211084210526315;65;30;95;0
656;(328.0, 328.5);949.7358490566038;0.004723971698113207;70;36;106;0
657;(328.5, 329.0);1003.7204301075269;0.005267118279569891;69;24;93;0
658;(329.0, 329.5);885.4854368932039;0.004758941747572818;72;31;103;0
659;(329.5, 330.0);959.31;0.0046489999999999995;75;25;100;0
660;(330.0, 330.5);974.2307692307693;0.005438153846153845;68;23;91;0
661;(330.5, 331.0);972.9891304347826;0.00548541304347826;69;23;92;0
662;(331.0, 331.5);965.9795918367347;0.004517112244897958;71;27;98;0
663;(331.5, 332.0);981.8023255813954;0.005945953488372093;67;19;86;0
664;(332.0, 332.5);976.0194174757281;0.004702067961165046;68;35;103;0
665;(332.5, 333.0);965.312;0.0039232159999999985;72;53;125;0
666;(333.0, 333.5);886.69;0.00486885;78;22;100;0
667;(333.5, 334.0);964.1447368421053;0.006271144736842105;58;18;76;0
668;(334.0, 334.5);985.4105263157895;0.005314368421052632;76;19;95;0
669;(334.5, 335.0);966.5494505494505;0.005480571428571426;72;19;91;0
670;(335.0, 335.5);963.5568181818181;0.005528136363636364;68;20;88;0
671;(335.5, 336.0);972.0674157303371;0.005632685393258423;70;19;89;0
672;(336.0, 336.5);994.2261904761905;0.005696821428571427;67;17;84;0
673;(336.5, 337.0);886.3921568627451;0.004894313725490197;77;25;102;0
674;(337.0, 337.5);962.635294117647;0.005394729411764705;66;19;85;0
675;(337.5, 338.0);995.8295454545455;0.0055634204545454554;74;14;88;0
676;(338.0, 338.5);951.9186046511628;0.005706872093023256;68;18;86;0
677;(338.5, 339.0);968.953488372093;0.005760523255813953;70;16;86;0
678;(339.0, 339.5);984.2;0.0058510588235294115;70;15;85;0
679;(339.5, 340.0);942.4888888888889;0.005075566666666665;70;20;90;0
680;(340.0, 340.5);932.2650602409639;0.005754216867469878;63;20;83;0
681;(340.5, 341.0);908.968085106383;0.005235776595744681;72;22;94;0
682;(341.0, 341.5);1002.4615384615385;0.0064830128205128216;66;12;78;0
683;(341.5, 342.0);991.5116279069767;0.005719348837209304;71;15;86;0
684;(342.0, 342.5);956.0;0.005602629213483145;67;22;89;0
685;(342.5, 343.0);950.4430379746835;0.0058830632911392395;58;21;79;0
686;(343.0, 343.5);828.7058823529412;0.01236226470588235;20;14;34;0
687;(343.5, 344.0);870.5882352941177;0.009890215686274512;33;18;51;0
688;(344.0, 344.5);814.7462686567164;0.007488298507462686;47;20;67;0
689;(344.5, 345.0);870.7164179104477;0.00679773134328358;46;21;67;0
690;(345.0, 345.5);940.8333333333334;0.006106666666666666;59;19;78;0
691;(345.5, 346.0);924.9818181818182;0.008908690909090907;40;15;55;0
692;(346.0, 346.5);974.6260869565217;0.004195669565217391;100;15;115;0
693;(346.5, 347.0);1013.696682464455;0.002414056872037913;164;47;211;0
694;(347.0, 347.5);891.7612903225806;0.0031356967741935486;117;38;155;0
695;(347.5, 348.0);840.4787234042553;0.004901925531914894;71;23;94;0
696;(348.0, 348.5);826.4536082474227;0.005089876288659792;75;22;97;0
697;(348.5, 349.0);889.2613636363636;0.0057638068181818155;71;17;88;0
698;(349.0, 349.5);885.6585365853658;0.005807353658536584;66;16;82;0
699;(349.5, 350.0);862.4111111111112;0.0052014222222222205;68;22;90;0
700;(350.0, 350.5);900.7222222222222;0.005472344444444443;72;18;90;0
701;(350.5, 351.0);913.7176470588236;0.00584570588235294;69;16;85;0
702;(351.0, 351.5);897.6024096385543;0.005853036144578314;66;17;83;0
703;(351.5, 352.0);820.4226804123712;0.005080422680412372;75;22;97;0
704;(352.0, 352.5);904.7790697674419;0.005418697674418604;68;18;86;0
705;(352.5, 353.0);924.8651685393259;0.005747820224719103;73;16;89;0
706;(353.0, 353.5);928.4404761904761;0.005324595238095237;68;16;84;0
707;(353.5, 354.0);948.4588235294118;0.005788399999999998;69;16;85;0
708;(354.0, 354.5);924.8823529411765;0.0057457411764705885;69;16;85;0
709;(354.5, 355.0);930.3846153846154;0.005508703296703294;69;22;91;0
710;(355.0, 355.5);905.7956989247311;0.004981677419354839;71;22;93;0
711;(355.5, 356.0);858.6666666666666;0.005173225806451613;71;22;93;0
712;(356.0, 356.5);1015.7029702970297;0.004967861386138611;70;31;101;0
713;(356.5, 357.0);1087.0;0.00387058870967742;71;53;124;0
714;(357.0, 357.5);937.2772277227723;0.004957940594059404;70;31;101;0
715;(357.5, 358.0);921.3820224719101;0.005489382022471912;70;19;89;0
716;(358.0, 358.5);963.4235294117647;0.005872894117647057;68;17;85;0
717;(358.5, 359.0);960.7191011235955;0.005436651685393257;68;21;89;0
718;(359.0, 359.5);900.3936170212766;0.005238755319148933;73;21;94;0
719;(359.5, 360.0);937.2065217391304;0.005033880434782606;71;21;92;0
720;(360.0, 360.5);965.9010989010989;0.00543164835164835;71;20;91;0
721;(360.5, 361.0);961.1264367816092;0.005810264367816093;67;20;87;0
722;(361.0, 361.5);978.2235294117647;0.005424752941176471;68;17;85;1
723;(361.5, 362.0);952.4555555555555;0.0059432555555555535;72;18;90;1
724;(362.0, 362.5);1086.8245614035088;0.00439028947368421;73;41;114;1
725;(362.5, 363.0);1065.8992248062016;0.0036908759689922464;70;59;129;1
726;(363.0, 363.5);1042.378787878788;0.0037455378787878777;79;53;132;1
727;(363.5, 364.0);1106.5070422535211;0.0034572253521126762;72;70;142;1
728;(364.0, 364.5);1106.913669064748;0.0035971510791366905;71;68;139;1
729;(364.5, 365.0);1105.1608391608393;0.003437111888111888;74;69;143;1
730;(365.0, 365.5);1088.029197080292;0.0036370802919708;66;71;137;1
731;(365.5, 366.0);1104.2344827586207;0.003473696551724136;76;69;145;1
732;(366.0, 366.5);1107.9389312977098;0.0036553511450381653;64;67;131;1
733;(366.5, 367.0);1062.1006289308177;0.003075207547169809;88;71;159;1
734;(367.0, 367.5);1124.0808823529412;0.003666955882352942;71;65;136;1
735;(367.5, 368.0);1113.8958333333333;0.0034737986111111085;75;69;144;1
736;(368.0, 368.5);1092.0526315789473;0.00375766917293233;61;72;133;1
737;(368.5, 369.0);1135.8287671232877;0.0033495410958904103;77;69;146;1
738;(369.0, 369.5);1133.9928057553957;0.003551007194244602;71;68;139;1
739;(369.5, 370.0);1113.4347826086957;0.0035023985507246372;69;69;138;1
740;(370.0, 370.5);1124.4761904761904;0.0033395714285714287;76;71;147;1
741;(370.5, 371.0);1075.655844155844;0.003158389610389609;82;72;154;1
742;(371.0, 371.5);1129.887323943662;0.0035214084507042254;73;69;142;1
743;(371.5, 372.0);1110.7391304347825;0.0036200797101449272;70;68;138;1
744;(372.0, 372.5);1110.7241379310344;0.0034016482758620664;75;70;145;1
745;(372.5, 373.0);1104.1818181818182;0.0037231969696969684;65;67;132;1
746;(373.0, 373.5);1097.5328467153286;0.0035657810218978057;69;68;137;1
