,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
48,"(24.0, 24.5)",835.2148148148148,225.09395667392354,865.0,0.003591296296296295,0.005203849589807953,0.0006259999999999999,88,47,135,1,1
49,"(24.5, 25.0)",836.2033898305086,210.9177973841186,846.0,0.004223254237288137,0.005148840038957975,0.0011515,63,55,118,1,1
50,"(25.0, 25.5)",844.05,229.38589662040096,864.5,0.0034313285714285702,0.004441354889914858,0.0006835000000000001,83,57,140,1,1
51,"(25.5, 26.0)",849.3934426229507,315.4431110680369,919.5,0.004037008196721311,0.004853305043257375,0.0010425,68,54,122,1,1
52,"(26.0, 26.5)",823.8712121212121,217.31636646694926,877.5,0.003701113636363635,0.004805592255478975,0.0008755000000000001,67,65,132,1,1
53,"(26.5, 27.0)",885.195652173913,186.59910025114013,907.5,0.003609355072463768,0.004428324205290741,0.00115,76,62,138,1,1
54,"(27.0, 27.5)",898.5241935483872,190.93988598593003,896.0,0.003873459677419353,0.0047452161077162726,0.0016215,68,56,124,1,1
55,"(27.5, 28.0)",795.5625,196.79721966860038,890.0,0.0035981718749999976,0.005336616302562661,0.0006519999999999999,72,56,128,1,1
56,"(28.0, 28.5)",836.2457627118644,202.062313162785,898.0,0.004117152542372878,0.005832553392001571,0.000672,67,51,118,1,1
57,"(28.5, 29.0)",837.595041322314,206.43169082097504,883.0,0.004165256198347108,0.005438805752076039,0.001167,68,53,121,1,1
58,"(29.0, 29.5)",816.1654135338347,253.54630742102174,901.0,0.0037339398496240603,0.0052228967910819294,0.0008359999999999999,74,59,133,1,1
59,"(29.5, 30.0)",887.1290322580646,188.5628992011775,926.0,0.004013758064516129,0.004926826154559496,0.0011489999999999998,68,56,124,1,1
60,"(30.0, 30.5)",917.2434782608696,191.5622564417603,953.0,0.00435633913043478,0.004981932637544824,0.001106,59,56,115,1,1
